"","X","Unnamed..0","Year","Country_Name","code","Medals","GDP.per.capita"
"1",0,0,1896,"Great Britain","GBR",7,7211
"2",1,1,1896,"France","FRA",11,4280
"3",2,2,1896,"United States","USA",20,6885.67
"4",3,3,1900,"France","FRA",102,4584
"5",4,4,1900,"United States","USA",48,8037.57
"6",5,5,1900,"Great Britain","GBR",32,7594
"7",6,6,1904,"United States","USA",231,8663.66
"8",7,7,1904,"France","FRA",1,4538
"9",8,8,1904,"Great Britain","GBR",2,7455
"10",9,9,1908,"United States","USA",47,8975.98
"11",10,10,1908,"Great Britain","GBR",146,7461
"12",11,11,1908,"France","FRA",19,4854
"13",12,12,1912,"United States","USA",64,9976.57
"14",13,13,1912,"France","FRA",15,5601
"15",14,14,1912,"Great Britain","GBR",41,7954
"16",15,15,1920,"Brazil","BRA",3,1242
"17",16,16,1920,"United States","USA",95,10152.93
"18",17,17,1920,"France","FRA",41,5144
"19",18,18,1920,"Great Britain","GBR",43,7017
"20",19,19,1924,"France","FRA",38,6661
"21",20,20,1924,"United States","USA",99,11126.71
"22",21,21,1924,"Great Britain","GBR",34,7844
"23",22,22,1928,"Great Britain","GBR",20,8539
"24",23,23,1928,"United States","USA",56,11451.07
"25",24,24,1928,"France","FRA",21,7063
"26",25,25,1932,"Great Britain","GBR",16,8206
"27",26,26,1932,"France","FRA",19,6311
"28",27,27,1932,"United States","USA",103,8380.5
"29",28,28,1932,"Mexico","MEX",2,1890
"30",29,29,1936,"Great Britain","GBR",14,9620
"31",30,30,1936,"United States","USA",56,10568.01
"32",31,31,1936,"France","FRA",19,6765
"33",32,32,1936,"Mexico","MEX",3,2444
"34",33,33,1948,"Mexico","MEX",5,3188
"35",34,34,1948,"Great Britain","GBR",23,10753
"36",35,35,1948,"France","FRA",29,7002
"37",36,36,1948,"United States","USA",84,14734.23
"38",37,37,1948,"Brazil","BRA",1,2096
"39",38,38,1952,"United States","USA",76,16444
"40",39,39,1952,"France","FRA",18,8869
"41",40,40,1952,"Great Britain","GBR",11,11303
"42",41,41,1952,"Brazil","BRA",3,2377
"43",42,42,1952,"Mexico","MEX",1,3706
"44",43,43,1956,"Brazil","BRA",1,2672
"45",44,44,1956,"Mexico","MEX",2,4213
"46",45,45,1956,"Great Britain","GBR",24,12639
"47",46,46,1956,"United States","USA",74,17397
"48",47,47,1956,"France","FRA",14,10278
"49",48,48,1960,"Great Britain","GBR",20,13780
"50",49,49,1960,"United States","USA",71,18057
"51",50,50,1960,"Brazil","BRA",2,3398
"52",51,51,1960,"Mexico","MEX",1,4723
"53",52,52,1960,"France","FRA",5,11792
"54",53,53,1964,"France","FRA",15,14057
"55",54,54,1964,"Brazil","BRA",1,3637
"56",55,55,1964,"Mexico","MEX",1,5555
"57",56,56,1964,"United States","USA",90,20360
"58",57,57,1964,"Great Britain","GBR",18,15251
"59",58,58,1968,"Mexico","MEX",9,6432
"60",59,59,1968,"United States","USA",107,23691
"61",60,60,1968,"France","FRA",15,16365
"62",61,61,1968,"Great Britain","GBR",13,16593
"63",62,62,1968,"Brazil","BRA",3,4050
"64",63,63,1972,"United States","USA",94,25414
"65",64,64,1972,"France","FRA",13,19549
"66",65,65,1972,"Brazil","BRA",2,5480
"67",66,66,1972,"Great Britain","GBR",18,18002
"68",67,67,1972,"Mexico","MEX",1,7256
"69",68,68,1976,"Great Britain","GBR",13,19311
"70",69,69,1976,"United States","USA",94,27058
"71",70,70,1976,"Brazil","BRA",2,7079
"72",71,71,1976,"Mexico","MEX",2,8131
"73",72,72,1976,"France","FRA",9,21465
"74",73,73,1980,"Great Britain","GBR",21,20612
"75",74,74,1980,"France","FRA",14,23537
"76",75,75,1980,"Mexico","MEX",4,9929
"77",76,76,1980,"Brazil","BRA",4,8249
"78",77,77,1984,"United States","USA",174,32076
"79",78,78,1984,"China","CHN",32,2444
"80",79,79,1984,"France","FRA",28,24519
"81",80,80,1984,"Great Britain","GBR",37,21869
"82",81,81,1984,"Brazil","BRA",8,7438
"83",82,82,1984,"Mexico","MEX",6,9777
"84",83,83,1988,"Brazil","BRA",6,8230
"85",84,84,1988,"United States","USA",94,35863
"86",85,85,1988,"China","CHN",28,3045
"87",86,86,1988,"Great Britain","GBR",24,25679
"88",87,87,1988,"France","FRA",16,26763
"89",88,88,1988,"Mexico","MEX",2,9193
"90",89,89,1992,"Brazil","BRA",3,7812.79
"91",90,90,1992,"United States","USA",108,37240.3
"92",91,91,1992,"China","CHN",54,3227.74
"93",92,92,1992,"Great Britain","GBR",20,25790.18
"94",93,93,1992,"France","FRA",29,28619.8
"95",94,94,1992,"Mexico","MEX",1,10262.21
"96",95,95,1996,"Brazil","BRA",15,9124.52
"97",96,96,1996,"Great Britain","GBR",15,28472.25
"98",97,97,1996,"France","FRA",37,29736.64
"99",98,98,1996,"United States","USA",101,40412.75
"100",99,99,1996,"China","CHN",50,4219.64
"101",100,100,1996,"Mexico","MEX",1,10386.5
"102",101,101,2000,"France","FRA",38,33409.68
"103",102,102,2000,"United States","USA",93,45886.47
"104",103,103,2000,"China","CHN",58,4730.35
"105",104,104,2000,"Great Britain","GBR",28,31946.04
"106",105,105,2000,"Mexico","MEX",6,12613.4
"107",106,106,2000,"Brazil","BRA",12,9834.42
"108",107,107,2004,"Brazil","BRA",10,10949.66
"109",108,108,2004,"France","FRA",33,35093.82
"110",109,109,2004,"United States","USA",101,48492.72
"111",110,110,2004,"China","CHN",63,6067.59
"112",111,111,2004,"Great Britain","GBR",30,34865.78
"113",112,112,2004,"Mexico","MEX",4,13287.6
"114",113,113,2008,"Brazil","BRA",17,13164.01
"115",114,114,2008,"Mexico","MEX",4,14808.09
"116",115,115,2008,"France","FRA",43,36761.79
"117",116,116,2008,"United States","USA",112,50275.75
"118",117,117,2008,"China","CHN",100,8190.11
"119",118,118,2008,"Great Britain","GBR",51,36264.79
"120",119,119,2012,"Mexico","MEX",8,15639
"121",120,120,2012,"Brazil","BRA",17,14985
"122",121,121,2012,"France","FRA",35,36571
"123",122,122,2012,"China","CHN",91,10680
"124",123,123,2012,"United States","USA",104,50394
"125",124,124,2012,"Great Britain","GBR",65,35185
